fideid, sex, name, rating, country, title, k, birthday, avrisk, gamecount, oprating 
1118358, M, Wojtaszek Radoslaw, 2686, POL, GM, 10, 1987, 134.49802444685545, 128, 2599.859375 
1118803, M, Kwiek Janusz, 1409, POL, NULL, 20, 1937, 138.49297171342562, 26, 1455.8076923076924 
1119095, M, Marszalek Maciej, 2289, POL, FM, 10, 1985, 135.0388257012264, 26, 2242.730769230769 
1119125, M, Kuzmicz Krystian, 2466, POL, IM, 10, 1987, 133.05212262540647, 31, 2398.2580645161293 
1119206, M, Janaszak Dawid, 2322, POL, FM, 10, 1983, 135.06603089858496, 23, 2390.1739130434785 
1119257, M, Bartel Michal, 2250, POL, FM, 20, 1986, 134.9717753051203, 30, 2211.0333333333333 
1119290, M, Pakleza Zbigniew, 2496, POL, GM, 10, 1986, 131.51598249597043, 51, 2340.0392156862745 
1119907, F, Toma Katarzyna, 2232, ENG, WGM, 20, 1985, 136.03184728311408, 59, 2190.728813559322 
1119966, M, Stachowiak Kamil, 2464, POL, IM, 10, 1986, 133.34565329197028, 45, 2302.222222222222 
1120042, M, Luch Michal, 2371, POL, IM, 10, 1988, 128.87921564188824, 24, 2434.75 
1120239, M, Safanowski Tomasz, 1696, POL, NULL, 20, 1973, 137.34597554510083, 29, 1891.8275862068965 
1120913, M, Balinski Damian, 2190, POL, NULL, 20, 1989, 126.71808928416526, 21, 2139.5238095238096 
1121219, M, Czarnota Pawel, 2502, POL, GM, 10, 1988, 132.05356186661635, 40, 2386.8 
1121324, M, Dzikowski Michal, 2061, POL, NULL, 20, 1995, 140.08295781503614, 22, 2052.909090909091 
1121979, F, Majdan Joanna, 2306, POL, WGM, 10, 1988, 132.0041846948363, 49, 2316.6326530612246 
1122320, F, Zawadzka Jolanta, 2379, POL, WGM, 10, 1987, 135.8661056136026, 58, 2308.4827586206898 
1122401, M, Moranda Wojciech, 2589, POL, GM, 10, 1988, 132.0830049448539, 67, 2514.134328358209 
1122428, M, Butkiewicz Lukasz, 2358, POL, IM, 10, 1988, 135.90187435505675, 35, 2327.0857142857144 
1122452, M, Tazbir Marcin, 2509, POL, GM, 10, 1988, 134.72106415764495, 52, 2383.730769230769 
1122681, F, Cyfka Karina, 2339, POL, IM, 10, 1987, 132.9627924681478, 39, 2339.3333333333335 
112275, M, Mareco Sandro, 2619, ARG, GM, 10, 1987, 133.8941030557318, 128, 2452.796875 
